scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050
"	GCAM-USA_updatedRef",AL,peak generation,CH4,0.0078,0.006725,0.006125,0.005325,0.0044,0.003475,0.002625,0.001905
"	GCAM-USA_updatedRef",AL,peak generation,N2O,0.0267306,0.0229758,0.0209792,0.0182376,0.015049,0.01192,0.0089698,0.0065262
"	GCAM-USA_updatedRef",AL,peak generation,CH4,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,peak generation,N2O,0,0,0,0,0,0,0,0
"	GCAM-USA_updatedRef",AL,resid clothes dryers,CH4,3.55E-04,3.60E-04,3.58E-04,3.65E-04,3.58E-04,3.80E-04,4.02E-04,4.25E-04
"	GCAM-USA_updatedRef",AL,resid clothes dryers,N2O,2.32E-05,2.36E-05,2.34E-05,2.38E-05,2.35E-05,2.49E-05,2.64E-05,2.79E-05
"	GCAM-USA_updatedRef",AL,resid cooking,CH4,0.0014875,0.00135,0.0011925,9.87E-04,8.10E-04,6.23E-04,6.48E-04,6.73E-04
"	GCAM-USA_updatedRef",AL,resid cooking,N2O,9.74E-05,8.82E-05,7.81E-05,6.47E-05,5.30E-05,4.08E-05,4.23E-05,4.41E-05
"	GCAM-USA_updatedRef",AL,resid cooking,CH4,1.24E-06,1.16E-06,1.07E-06,9.00E-07,7.38E-07,5.55E-07,5.55E-07,5.70E-07
"	GCAM-USA_updatedRef",AL,resid cooking,N2O,4.68E-05,4.38E-05,4.02E-05,3.40E-05,2.78E-05,2.10E-05,2.09E-05,2.16E-05
