scenario,region,sector,ghg,2015,2020,2025,2030,2035,2040,2045,2050,Units
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,comm hot water,CO2,0.164572,0.17264022,0.16829203,0.16421894,0.1389066,0.11130555,0.077511856,0.061030761,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,comm other,CO2,0.2292291,0.2329466,0.2459874,0.2776594,0.3024951,0.325374,0.3265321,0.2836541,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,intermediate generation,CO2,5.82246347,4.337219612,3.759558419,3.249595957,1.8945172,1.476153279,1.250601673,0.603919831,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,oil refining,CO2,0,0,0,0,0,0,0,0,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,other industrial energy use,CO2,0.59006321,0.604019225,0.624510489,0.638501429,0.629465767,0.616354277,0.575219234,0.376953229,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,peak generation,CO2,0.0821117,0.070380758,0.043277013,0.034355587,0.012591703,0.007113983,0.004226489,0.00105844,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,process heat cement,CO2,0.2644945,0.272018435,0.237993226,0.260036814,0.242676315,0.234767164,0.235490621,0.228496016,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,process heat dac,CO2,0,0,1.82E-06,9.23E-06,0.00532031,0.0401242,0.102061,0.102895,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,regional biomass,CO2,-0.188089,-0.12712,-0.180115,-0.202738,-0.408428,-0.589229,-0.814481,-1.16724,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,regional biomassOil,CO2,-0.00492947,-0.00467539,-0.00409316,-0.00331345,-0.00376646,-0.00282784,-0.00308918,-0.00498484,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,regional corn for ethanol,CO2,-0.0886558,-0.0833825,-0.0735079,-0.0595445,-0.0662248,-0.0468125,-0.0304702,-0.0241168,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,resid clothes dryers,CO2,0.00370762,0.00387661,0.003809817,0.003822487,0.003365771,0.003213596,0.003096302,0.002773262,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,resid cooking,CO2,0.01949061,0.018861846,0.017598528,0.015568035,0.012762424,0.009269006,0.008360213,0.00699238,MTC
"UpdatedNZ_HeavyElec_NoInd,date=2025-3-10T01:25:51-06:00",AZ,resid heating,CO2,0.297734649,0.271809293,0.252410064,0.224514924,0.182604532,0.137607731,0.097365486,0.064803152,MTC
