"lat","lon","SOx","NOx","NH3","VOC","PM2_5","PM10","CO"
21.23426,-70.3115799999998,183629.109166426,145987.704186036,423.221456831841,7640.65599988254,21988.0705180157,1912.08259192483,17772.383864439
21.24251,-71.1213399999999,0,0,0,0,0,0,0
21.24283,-69.95993,221052.985652262,185077.954247774,515.668141894028,10193.887957747,26791.0506490097,2329.75517897509,22865.078404819
21.25012,-69.6082200000001,368644.125695873,297066.406254107,865.148152886624,17664.1190331138,44947.9540888786,3908.66519555758,37496.7936816336
21.25398,-70.7697399999999,239988.277641031,260963.985418605,572.98929803135,13495.0896975793,29769.1172290035,2588.70838692152,30485.84122987
21.25616,-69.2564400000001,92964.2170191261,94453.4655750362,221.325253677473,5116.72798218071,11498.7442887121,999.920521596217,11424.8488671094
21.2584200000001,-71.57974,0,0,0,0,0,0,0
21.26421,-70.41809,196035.127255177,170785.904889606,456.318372515652,8968.62508879904,23707.5894138278,2061.61473128363,20717.0304122348
21.27158,-71.22815,174177.856429361,158270.257789789,409.56022618204,8658.71449197367,21278.3142237575,1850.36068628173,19941.0961283486
21.27316,-70.0663100000001,193042.800443116,161054.121673589,451.335294984448,8992.68341545937,23448.6983439545,2039.09459235875,19924.8702977883
21.2808500000001,-69.7144799999999,306420.504174676,245272.271508295,717.288235887774,14743.8867744512,37266.0319419784,3240.65673176233,30942.0209329942
21.2834499999999,-70.8764600000002,83766.1793536246,84726.4214300934,200.387832942853,4792.71369042137,10410.9603533877,905.336526739613,10745.8558791383
21.28699,-71.68671,0,0,0,0,0,0,0
21.28728,-69.3626100000001,125090.89916677,122498.426752677,289.051278534334,6543.41158792149,15017.3858727522,1305.89813392149,14761.7703489952
21.29406,-70.52466,301045.149336329,294083.19212868,710.96138288039,15555.4795276493,36937.32627159,3212.05786595786,35440.4314569594
21.30052,-71.3350200000002,473026.18730046,421968.192135177,1103.2467578302,21895.5387730785,57318.1416954783,4984.37029601004,51120.7570779948
21.30341,-70.1727899999999,353941.265010303,326154.650155007,835.729338725254,18080.7392722435,43419.5273900472,3775.76716912978,40379.2157355203
21.31148,-69.8208299999999,217954.661731538,191016.547221643,505.51503844731,10804.5739058085,26263.555735457,2283.8658977246,23798.0184932535
21.3128,-70.9832200000001,199688.171008778,200070.154230584,473.822717919001,10723.5867785022,24617.0111324762,2140.68193838403,24245.6140452608
21.31547,-71.7937599999998,158407.416052195,168710.652487514,378.341013517428,8901.7369304803,19656.3493929005,1709.30790437366,20127.7342115711
21.31827,-69.4688399999998,215957.879483811,199473.775046264,500.714081314106,12445.2882257845,26014.1263750083,2262.18094626113,26510.4151411535
21.32379,-70.6313200000002,258018.34730598,270185.238939386,615.14319411218,14365.001888698,31959.1829844865,2779.15717498368,32386.6106374401
21.32938,-71.4419600000001,213084.147914962,221056.009341999,506.657183323816,11578.2666123576,26322.8946472668,2289.0265702682,26390.9645250659
21.33352,-70.2793300000001,395528.669652673,375308.796355467,933.644815345632,20360.4745647213,48506.6332935504,4218.13663855287,45978.6129927408
21.34197,-69.9272799999999,142370.676408524,129301.889677526,326.192068706925,7170.74795090404,16947.0005318056,1473.70922538202,16258.4819211571
21.34203,-71.0900600000002,0,0,0,0,0,0,0
21.3438000000001,-71.90088,192567.315391772,199629.060381856,460.48200131238,10945.9347855729,23923.9069389355,2080.41897470442,24677.5170118072
21.34917,-69.5751300000001,247859.646342846,220638.324019761,568.954598429381,12919.2740671658,29559.4981768025,2570.49405913097,28550.1995501996
21.35342,-70.7380400000001,222925.035667865,240568.739323119,532.204892964682,12511.613104689,27650.2018914373,2404.45766834465,28328.1863985813
21.35508,-69.22296,89665.2318935697,88630.3663828091,214.039495538806,5059.69269207824,11120.2195888879,967.017514307284,11332.2515846503
